*Компания*;*Телефон компаний*;*Сайт компаний*;*Данные из регистра*
*ACONTEC Oy *;*0400405726*;*-*;*{Kaupparekisteri   Rekisterissä   31.05.2017  |Verohallinnon perustiedot   Rekisterissä   31.05.2017  |Ennakkoperintärekisteri   Rekisterissä   31.05.2017  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   31.05.2017  |}*
*Active Agency Oy *;*050 4011234*;*-*;*{Kaupparekisteri   Rekisterissä   17.09.2013  |Verohallinnon perustiedot   Rekisterissä   23.09.2013  |Ennakkoperintärekisteri   Rekisterissä   11.08.2015  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.11.2013  |Työnantajarekisteri   Rekisterissä   01.06.2015  |}*
*Adamer oy *;*-*;*www.adamer.fi*;*{Kaupparekisteri   Rekisterissä   09.09.2010  |Verohallinnon perustiedot   Rekisterissä   19.08.2010  |}*
*Adatto Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   13.09.1989  |Verohallinnon perustiedot   Rekisterissä   02.06.1989  |Ennakkoperintärekisteri   Rekisterissä   01.01.2003  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.06.1994  |Työnantajarekisteri   Rekisterissä   01.01.1996  |}*
*Addtrade Finland Oy *;*0504022000*;*-*;*{Kaupparekisteri   Rekisterissä   28.01.1987  |Verohallinnon perustiedot   Rekisterissä   06.05.1987  |}*
*Aelcomp Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   02.06.2016  |Verohallinnon perustiedot   Rekisterissä   30.06.2016  |Ennakkoperintärekisteri   Rekisterissä   09.05.2016  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   28.04.2016  |}*
*AES Service Oy *;*044 5837678*;*-*;*{Kaupparekisteri   Rekisterissä   25.03.2013  |Verohallinnon perustiedot   Rekisterissä   25.03.2013  |Ennakkoperintärekisteri   Rekisterissä   06.04.2018  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   12.03.2013  |}*
*Agentum Technologies Oy Inc. *;*-*;*www.agentum.com*;*{Kaupparekisteri   Rekisterissä   23.07.1998  |Verohallinnon perustiedot   Rekisterissä   07.08.1998  |Ennakkoperintärekisteri   Rekisterissä   06.08.1998  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   06.08.1998  |Arvonlisäverovelvollisuus   Kiinteistön käyttöoikeuden luovuttamisesta   13.02.2002  |Työnantajarekisteri   Rekisterissä   01.09.1998  |}*
*Agentum Technologies Oy Inc. *;*-*;*www.agentum.com*;*{Kaupparekisteri   Rekisterissä   23.07.1998  |Verohallinnon perustiedot   Rekisterissä   07.08.1998  |Ennakkoperintärekisteri   Rekisterissä   06.08.1998  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   06.08.1998  |Arvonlisäverovelvollisuus   Kiinteistön käyttöoikeuden luovuttamisesta   13.02.2002  |Työnantajarekisteri   Rekisterissä   01.09.1998  |}*
*Agentuuri Toivola Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   12.02.1971  |Verohallinnon perustiedot   Rekisterissä   15.03.1978  |}*
*AgileMiners Oy *;*+358445399981*;*narhinen.net*;*{Kaupparekisteri   Rekisterissä   01.10.2014  |Verohallinnon perustiedot   Rekisterissä   01.10.2014  |}*
*A.H. FINLAND OY *;*0400977422*;*www.autohelsinki.fi*;*{Kaupparekisteri   Rekisterissä   01.11.2012  |Verohallinnon perustiedot   Rekisterissä   05.11.2012  |}*
*AHF Oy, Pasi Tuomola *;*0405192856*;*-*;*{Kaupparekisteri   Rekisterissä   14.02.1996  |Verohallinnon perustiedot   Rekisterissä   07.03.1996  |Ennakkoperintärekisteri   Rekisterissä   23.02.1996  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.01.1996  |Työnantajarekisteri   Rekisterissä   01.01.1997  |}*
* *;*-*;*-*;*{Verohallinnon perustiedot   Rekisterissä   10.01.2019  |}*
* *;*-*;*-*;*{Verohallinnon perustiedot   Rekisterissä   15.02.2019  |}*
*AIKS Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   02.05.2019  |Verohallinnon perustiedot   Rekisterissä   02.05.2019  |Ennakkoperintärekisteri   Rekisterissä   17.04.2019  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   17.04.2019  |}*
* *;*-*;*-*;*{Verohallinnon perustiedot   Rekisterissä   15.03.1978  |}*
*Aalto Technologies Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   04.11.2014  |Verohallinnon perustiedot   Rekisterissä   06.11.2014  |}*
*Airspan Networks (Finland) Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   27.04.2000  |Verohallinnon perustiedot   Rekisterissä   29.02.2000  |}*
*AISTEK Oy *;*+358503480319*;*-*;*{Kaupparekisteri   Rekisterissä   05.10.2015  |Verohallinnon perustiedot   Rekisterissä   05.10.2015  |Ennakkoperintärekisteri   Rekisterissä   01.10.2015  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   23.09.2015  |Työnantajarekisteri   Rekisterissä   01.10.2015  |}*
*AJ Rauta Oy *;*0505758553*;*-*;*{Kaupparekisteri   Rekisterissä   24.09.2012  |Verohallinnon perustiedot   Rekisterissä   27.09.2012  |}*
*Ajopuu Oy *;*0403585747*;*-*;*{Kaupparekisteri   Rekisterissä   07.10.1987  |Verohallinnon perustiedot   Rekisterissä   27.10.1987  |Ennakkoperintärekisteri   Rekisterissä   01.03.1995  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.06.1994  |Työnantajarekisteri   Rekisterissä   01.11.1987  |}*
*AJWAN OY *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   31.07.2019  |Verohallinnon perustiedot   Rekisterissä   01.08.2019  |Ennakkoperintärekisteri   Rekisterissä   01.08.2019  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.08.2019  |}*
*AK Laatuverkot *;*-*;*-*;*{Verohallinnon perustiedot   Rekisterissä   11.04.2005  |}*
*AK-Shoes Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   03.08.1998  |Verohallinnon perustiedot   Rekisterissä   19.08.1998  |Ennakkoperintärekisteri   Rekisterissä   10.08.1998  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.01.1999  |}*
*Akaan Rengas *;*-*;*-*;*{Verohallinnon perustiedot   Rekisterissä   01.01.1998  |}*
* *;*-*;*-*;*{Verohallinnon perustiedot   Rekisterissä   29.11.1995  |}*
*An-Net Oy *;*050 522 0620*;*www.an-net.info*;*{Kaupparekisteri   Rekisterissä   20.02.1996  |Verohallinnon perustiedot   Rekisterissä   22.01.1996  |Ennakkoperintärekisteri   Rekisterissä   12.01.1996  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.01.1996  |Työnantajarekisteri   Rekisterissä   01.05.2004  |}*
*Kiinteistö Oy Alajärven Kauppakartano *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   26.05.1993  |Verohallinnon perustiedot   Rekisterissä   10.08.1994  |Arvonlisäverovelvollisuus   Kiinteistön käyttöoikeuden luovuttamisesta   01.05.2002  |}*
*Alavuokki Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   13.12.2018  |Verohallinnon perustiedot   Rekisterissä   21.03.1994  |}*
*ALBIOX Oy *;*-*;*albiox.com*;*{Kaupparekisteri   Rekisterissä   01.09.2003  |Verohallinnon perustiedot   Rekisterissä   30.07.2003  |Ennakkoperintärekisteri   Rekisterissä   01.12.2005  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.12.2005  |}*
*ALEDO OY *;*0403700001*;*-*;*{Kaupparekisteri   Rekisterissä   27.11.2014  |Verohallinnon perustiedot   Rekisterissä   05.12.2014  |}*
*Alertec Oy *;*0400544779*;*-*;*{Kaupparekisteri   Rekisterissä   23.03.2000  |Verohallinnon perustiedot   Rekisterissä   28.03.2000  |Ennakkoperintärekisteri   Rekisterissä   02.04.2012  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.06.2000  |}*
*Oy Alfalon Ab *;*0400622852*;*-*;*{Kaupparekisteri   Rekisterissä   29.09.1993  |Verohallinnon perustiedot   Rekisterissä   13.10.1993  |Ennakkoperintärekisteri   Rekisterissä   01.03.1995  |}*
*Alfacos Ltd Oy *;*0503002803*;*-*;*{Kaupparekisteri   Rekisterissä   05.12.1973  |Verohallinnon perustiedot   Rekisterissä   15.03.1978  |Ennakkoperintärekisteri   Rekisterissä   01.03.1995  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.06.1994  |}*
*Erik Ståhlberg Oy *;*0400 500694*;*-*;*{Kaupparekisteri   Rekisterissä   12.02.1924  |Verohallinnon perustiedot   Rekisterissä   15.03.1978  |}*
*Alion Oy *;*0405415455*;*www.jolier.fi*;*{Kaupparekisteri   Rekisterissä   14.03.2008  |Verohallinnon perustiedot   Rekisterissä   13.03.2008  |Ennakkoperintärekisteri   Rekisterissä   07.03.2008  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   06.03.2008  |}*
*Oy Allneon Ab *;*0503813011*;*www.allneon.fi*;*{Kaupparekisteri   Rekisterissä   18.11.1992  |Verohallinnon perustiedot   Rekisterissä   26.10.1992  |Ennakkoperintärekisteri   Rekisterissä   01.03.1995  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.06.1994  |}*
*Allstarcam Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   12.06.2012  |Verohallinnon perustiedot   Rekisterissä   13.06.2012  |}*
*Alnora Oy *;*0500 935 460*;*-*;*{Kaupparekisteri   Rekisterissä   08.10.2015  |Verohallinnon perustiedot   Rekisterissä   12.10.2015  |Ennakkoperintärekisteri   Rekisterissä   01.10.2015  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.10.2015  |Työnantajarekisteri   Rekisterissä   01.01.2019  |}*
*Aloha-Tietotalo OY *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   15.05.1991  |Verohallinnon perustiedot   Rekisterissä   26.09.1991  |Ennakkoperintärekisteri   Rekisterissä   01.03.1995  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.06.1994  |Arvonlisäverovelvollisuus   Kiinteistön käyttöoikeuden luovuttamisesta   23.04.1996  |}*
*Als-Import Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   10.06.1992  |Verohallinnon perustiedot   Rekisterissä   06.10.1992  |Ennakkoperintärekisteri   Rekisterissä   01.03.1995  |}*
*Altcom Solutions Oy *;*0400291531 0405528365*;*-*;*{Kaupparekisteri   Rekisterissä   21.09.2010  |Verohallinnon perustiedot   Rekisterissä   18.08.2010  |}*
*Altumara Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   08.04.1992  |Verohallinnon perustiedot   Rekisterissä   25.05.1992  |Ennakkoperintärekisteri   Rekisterissä   01.03.1995  |}*
*Alula Energy Oy *;*-*;*www.alulaenergy.fi*;*{Kaupparekisteri   Rekisterissä   20.07.2011  |Verohallinnon perustiedot   Rekisterissä   20.07.2011  |}*
*Alumen Oy *;*040-3100031*;*www.alumen.fi*;*{Kaupparekisteri   Rekisterissä   04.06.2001  |Verohallinnon perustiedot   Rekisterissä   12.06.2001  |Ennakkoperintärekisteri   Rekisterissä   01.06.2001  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.06.2001  |}*
*Aluri Oy *;*050 5681869*;*-*;*{Kaupparekisteri   Rekisterissä   05.04.2006  |Verohallinnon perustiedot   Rekisterissä   18.04.2006  |Ennakkoperintärekisteri   Rekisterissä   03.03.2006  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.11.2005  |}*
*AM-Osaaja Oy *;*0504329985*;*-*;*{Kaupparekisteri   Rekisterissä   28.11.2014  |Verohallinnon perustiedot   Rekisterissä   28.11.2014  |Ennakkoperintärekisteri   Rekisterissä   01.12.2014  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.12.2014  |Työnantajarekisteri   Rekisterissä   01.12.2014  |}*
* *;*-*;*-*;*{Verohallinnon perustiedot   Rekisterissä   15.04.1981  |}*
*Amalinda Oy *;*0456652561*;*www.amalinda.fi*;*{Kaupparekisteri   Rekisterissä   01.03.2016  |Verohallinnon perustiedot   Rekisterissä   02.03.2016  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   03.02.2016  |Työnantajarekisteri   Rekisterissä   01.04.2016  |}*
*Amotec Oy *;*0456767809*;*-*;*{Kaupparekisteri   Rekisterissä   17.11.2009  |Verohallinnon perustiedot   Rekisterissä   18.11.2009  |Ennakkoperintärekisteri   Rekisterissä   06.11.2009  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   15.10.2009  |}*
* *;*-*;*-*;*{Verohallinnon perustiedot   Rekisterissä   16.05.1997  |}*
*Andior Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   14.06.1995  |Verohallinnon perustiedot   Rekisterissä   30.01.1995  |Ennakkoperintärekisteri   Rekisterissä   21.03.1995  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   02.01.1995  |}*
*Anlix Oy *;*040 849 2224*;*www.anlix.fi*;*{Kaupparekisteri   Rekisterissä   16.08.2010  |Verohallinnon perustiedot   Rekisterissä   17.08.2010  |Ennakkoperintärekisteri   Rekisterissä   15.07.2010  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.10.2010  |}*
*Annecto Oy *;*040 5544554*;*-*;*{Kaupparekisteri   Rekisterissä   05.10.2001  |Verohallinnon perustiedot   Rekisterissä   08.08.2001  |Ennakkoperintärekisteri   Rekisterissä   01.08.2001  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.08.2001  |}*
*Oy Annexetal Ab *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   22.05.1991  |Verohallinnon perustiedot   Rekisterissä   02.11.1991  |}*
*Antero Norppa Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   02.03.1973  |Verohallinnon perustiedot   Rekisterissä   02.10.1992  |Ennakkoperintärekisteri   Rekisterissä   01.03.1995  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.06.1994  |}*
*Apagon Oy *;*0405476579*;*www.apagon.fi*;*{Kaupparekisteri   Rekisterissä   04.01.2017  |Verohallinnon perustiedot   Rekisterissä   30.01.2017  |Ennakkoperintärekisteri   Rekisterissä   28.12.2016  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   28.12.2016  |}*
*Apleca Oy *;*+358408426073*;*www.apleca.fi*;*{Kaupparekisteri   Rekisterissä   19.11.2013  |Verohallinnon perustiedot   Rekisterissä   21.11.2013  |}*
*A-PP Communication and Consulting Oy *;*0400427825*;*-*;*{Kaupparekisteri   Rekisterissä   01.12.2006  |Verohallinnon perustiedot   Rekisterissä   02.11.2006  |Ennakkoperintärekisteri   Rekisterissä   03.11.2006  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.09.2017  |}*
*Applylight *;*-*;*-*;*{Verohallinnon perustiedot   Rekisterissä   10.05.2005  |}*
*Apuwatti Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   23.09.1992  |Verohallinnon perustiedot   Rekisterissä   26.01.1993  |Ennakkoperintärekisteri   Rekisterissä   01.01.1998  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.01.1998  |Arvonlisäverovelvollisuus   Kiinteistön käyttöoikeuden luovuttamisesta   15.01.2004  |Työnantajarekisteri   Rekisterissä   01.01.1998  |}*
*PR-comm Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   28.03.1990  |Verohallinnon perustiedot   Rekisterissä   01.11.1990  |Ennakkoperintärekisteri   Rekisterissä   01.03.1995  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.06.1994  |}*
*Arctic Electric Vehicles Oy *;*0405004906*;*www.arctic-ev.fi*;*{Kaupparekisteri   Rekisterissä   13.06.2014  |Verohallinnon perustiedot   Rekisterissä   02.07.2014  |Ennakkoperintärekisteri   Rekisterissä   16.05.2014  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   16.05.2014  |}*
*Arcticworks Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   07.06.2012  |Verohallinnon perustiedot   Rekisterissä   08.06.2012  |}*
*Arelcom Oy *;*0400-410311*;*-*;*{Kaupparekisteri   Rekisterissä   22.03.1989  |Verohallinnon perustiedot   Rekisterissä   14.12.1988  |}*
*Aribase Oy *;*+3725525175*;*-*;*{Kaupparekisteri   Rekisterissä   17.10.1996  |Verohallinnon perustiedot   Rekisterissä   16.10.1996  |Ennakkoperintärekisteri   Rekisterissä   11.10.1996  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   27.08.1996  |}*
*Arkkan Oy *;*040-5377609*;*www.arkkan.fi*;*{Kaupparekisteri   Rekisterissä   16.06.1993  |Verohallinnon perustiedot   Rekisterissä   28.04.1993  |Ennakkoperintärekisteri   Rekisterissä   01.03.1995  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.06.1994  |Työnantajarekisteri   Rekisterissä   01.08.2016  |}*
*Arkkitehtuuritoimisto Seppo Valjus oy *;*040-5045573*;*-*;*{Kaupparekisteri   Rekisterissä   18.07.1975  |Verohallinnon perustiedot   Rekisterissä   11.09.1978  |Ennakkoperintärekisteri   Rekisterissä   01.03.1995  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.06.1994  |Työnantajarekisteri   Rekisterissä   01.01.1979  |}*
*Armytek Optoelectronics Oy *;*-*;*www.armytek.fi*;*{Kaupparekisteri   Rekisterissä   16.09.2016  |Verohallinnon perustiedot   Rekisterissä   19.09.2016  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   08.08.2016  |Työnantajarekisteri   Rekisterissä   01.12.2018  |}*
*Aro trading Oy *;*+358466368878*;*-*;*{Kaupparekisteri   Rekisterissä   19.03.2009  |Verohallinnon perustiedot   Rekisterissä   19.03.2009  |}*
*ARPVision Oy *;*+358 40 549 3437*;*www.arpvision.fi*;*{Kaupparekisteri   Rekisterissä   12.02.2018  |Verohallinnon perustiedot   Rekisterissä   13.02.2018  |Ennakkoperintärekisteri   Rekisterissä   12.02.2018  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   12.02.2018  |}*
*Articon Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   05.12.1990  |Verohallinnon perustiedot   Rekisterissä   25.01.1991  |Ennakkoperintärekisteri   Rekisterissä   01.03.1995  |}*
*Artimago Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   06.09.1996  |Verohallinnon perustiedot   Rekisterissä   02.07.1996  |Ennakkoperintärekisteri   Rekisterissä   17.04.1997  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   02.12.1996  |}*
*Arvodata Oy *;*0400686186*;*www.arvodata.fi*;*{Kaupparekisteri   Rekisterissä   08.07.2019  |Verohallinnon perustiedot   Rekisterissä   08.07.2019  |Ennakkoperintärekisteri   Rekisterissä   01.08.2019  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.08.2019  |}*
*Arvokaje Oy *;*041 5024714*;*www.arvokaje.fi*;*{Kaupparekisteri   Rekisterissä   19.04.2006  |Verohallinnon perustiedot   Rekisterissä   26.04.2006  |Ennakkoperintärekisteri   Rekisterissä   18.01.2016  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.01.2016  |}*
*A.S.A.P. Antti Salkosalon apupalvelu *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   14.05.2019  |Verohallinnon perustiedot   Rekisterissä   09.05.2019  |Ennakkoperintärekisteri   Rekisterissä   10.04.2019  |}*
*Asbestikopla Oy *;*0442756550*;*-*;*{Kaupparekisteri   Rekisterissä   04.05.2018  |Verohallinnon perustiedot   Rekisterissä   04.05.2018  |Ennakkoperintärekisteri   Rekisterissä   18.04.2018  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.05.2018  |Työnantajarekisteri   Rekisterissä   01.05.2018  |}*
*Asi-Huolto Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   12.02.1992  |Verohallinnon perustiedot   Rekisterissä   26.03.1992  |Ennakkoperintärekisteri   Rekisterissä   01.03.1995  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.06.1994  |}*
*Asiataito Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   04.04.1990  |Verohallinnon perustiedot   Rekisterissä   21.11.1990  |Ennakkoperintärekisteri   Rekisterissä   01.03.1995  |}*
*Oy aSupport Ab *;*0405834949*;*www.asupport.fi*;*{Kaupparekisteri   Rekisterissä   28.09.2005  |Verohallinnon perustiedot   Rekisterissä   20.10.2005  |Ennakkoperintärekisteri   Rekisterissä   13.09.2005  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.09.2005  |Työnantajarekisteri   Rekisterissä   01.10.2005  |}*
*AT-Systems Oy *;*-*;*www.at-systems.fi*;*{Kaupparekisteri   Rekisterissä   04.12.2000  |Verohallinnon perustiedot   Rekisterissä   13.12.2000  |Ennakkoperintärekisteri   Rekisterissä   07.12.2000  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   04.12.2000  |}*
*Ateho Oy *;*0505060571*;*-*;*{Kaupparekisteri   Rekisterissä   16.10.2013  |Verohallinnon perustiedot   Rekisterissä   21.10.2013  |Ennakkoperintärekisteri   Rekisterissä   09.10.2013  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   08.10.2013  |}*
*A Tempo Oy *;*0400 944474*;*-*;*{Kaupparekisteri   Rekisterissä   04.09.1996  |Verohallinnon perustiedot   Rekisterissä   10.09.1996  |Ennakkoperintärekisteri   Rekisterissä   01.09.1996  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.03.2003  |Työnantajarekisteri   Rekisterissä   01.01.2009  |}*
